,Unnamed: 0,id_seg,id_cell,id_par,id_colony,id_d1,id_d2,id_sib,frames,new_pole,old_pole,edges,length,width,area,perimeter,fluo1,fluo2,x_pos,y_pos,generation,age,strain,movie_name,replicate
0,0,0,0,-1,0,-1,-1,-1,0,[ 3 75],[ 2 75],-y,7.0,6.0,30.0,8,361.7857142857143,309.35714285714283,75.26190476190476,3.0,0.0,0,AKS1089,AKS1089_TL01_08,1
1,1,0,0,-1,0,-1,-1,-1,1,[ 4 77],[ 3 77],-y,9.0,6.0,37.5,9,376.7843137254902,293.3529411764706,77.29411764705883,3.647058823529412,0.0,1,AKS1089,AKS1089_TL01_08,1
2,2,0,0,-1,0,-1,-1,-1,2,[ 7 75],[ 3 75],-y,11.0,7.0,55.0,13,409.8732394366197,308.4507042253521,75.80281690140845,4.52112676056338,0.0,2,AKS1089,AKS1089_TL01_08,1
3,3,0,0,-1,0,-1,-1,-1,3,[11 76],[ 4 77],-y,15.0,8.0,82.0,15,466.8235294117647,342.2843137254902,77.26470588235294,5.970588235294118,0.0,3,AKS1089,AKS1089_TL01_08,1
4,4,0,0,-1,0,-1,-1,-1,4,[ 9 78],[ 4 79],-y,13.0,7.0,65.5,14,446.3975903614458,335.3975903614458,79.07228915662651,5.313253012048193,0.0,4,AKS1089,AKS1089_TL01_08,1
5,5,0,0,-1,0,-1,-1,-1,5,[11 73],[ 4 74],-y,15.0,8.0,80.5,14,471.26732673267327,330.7722772277228,74.22772277227723,6.069306930693069,0.0,5,AKS1089,AKS1089_TL01_08,1
6,6,0,0,-1,0,-1,-1,-1,6,[11 78],[ 3 79],-y,16.0,7.0,82.5,13,484.9514563106796,333.7281553398058,78.33980582524272,6.766990291262136,0.0,6,AKS1089,AKS1089_TL01_08,1
7,7,0,0,-1,0,-1,-1,-1,7,[11 78],[ 3 79],-y,15.0,7.0,83.0,13,507.0485436893204,338.6407766990291,78.31067961165049,6.563106796116505,0.0,7,AKS1089,AKS1089_TL01_08,1
8,8,0,0,-1,0,-1,-1,-1,8,[11 75],[ 3 76],-y,16.0,8.0,90.0,18,510.4324324324325,348.27027027027026,75.41441441441441,6.603603603603603,0.0,8,AKS1089,AKS1089_TL01_08,1
9,9,0,0,-1,0,-1,-1,-1,9,[12 75],[ 3 76],-y,15.0,8.0,86.0,18,526.3962264150944,347.97169811320754,75.87735849056604,6.358490566037736,0.0,9,AKS1089,AKS1089_TL01_08,1
10,10,0,0,-1,0,-1,-1,-1,10,[13 76],[ 3 77],-y,17.0,8.0,97.5,17,513.9747899159664,344.47058823529414,76.85714285714286,6.974789915966387,0.0,10,AKS1089,AKS1089_TL01_08,1
11,11,0,0,-1,0,-1,-1,-1,11,[15 74],[ 4 74],-y,20.0,7.0,113.0,15,470.81159420289856,351.8768115942029,74.28985507246377,8.514492753623188,0.0,11,AKS1089,AKS1089_TL01_08,1
12,12,0,0,-1,0,-1,-1,-1,12,[15 75],[ 4 75],-y,20.0,8.0,117.5,15,310.64084507042253,351.51408450704224,75.07042253521126,8.415492957746478,0.0,12,AKS1089,AKS1089_TL01_08,1
13,13,0,0,-1,0,-1,-1,-1,13,[16 76],[ 4 77],-y,20.0,8.0,118.0,17,193.3986013986014,341.2307692307692,76.91608391608392,8.377622377622378,0.0,13,AKS1089,AKS1089_TL01_08,1
14,14,0,0,-1,0,-1,-1,-1,14,[15 78],[ 4 78],-y,19.0,7.0,113.5,11,186.7173913043478,351.0507246376812,78.32608695652173,8.405797101449275,0.0,14,AKS1089,AKS1089_TL01_08,1
15,15,0,0,-1,0,-1,-1,-1,15,[15 74],[ 3 75],-y,19.0,8.0,109.0,17,506.1729323308271,359.70676691729324,74.77443609022556,7.984962406015038,0.0,15,AKS1089,AKS1089_TL01_08,1
16,16,0,0,-1,0,-1,-1,-1,16,[15 75],[ 4 75],-y,20.0,7.0,110.5,11,492.4814814814815,361.6,75.26666666666667,8.392592592592592,0.0,16,AKS1089,AKS1089_TL01_08,1
17,17,1,1,-1,1,2,133,-1,0,[ 13 763],[  3 754],-y,22.957542419433597,8.901905059814453,144.0,22,490.0357142857143,435.9285714285714,757.3154761904761,7.190476190476191,0.0,0,AKS1089,AKS1089_TL01_08,1
18,18,1,1,-1,1,2,133,-1,1,[ 13 765],[  4 756],-y,22.957542419433597,9.214252471923828,150.0,21,380.0632183908046,435.6609195402299,759.4310344827586,7.350574712643678,0.0,1,AKS1089,AKS1089_TL01_08,1
19,19,1,1,-1,1,2,133,-1,2,[ 13 762],[  3 753],-y,25.133028030395508,9.27807903289795,162.0,26,221.1117021276596,442.8510638297872,757.2712765957447,8.26595744680851,0.0,2,AKS1089,AKS1089_TL01_08,1
