,Unnamed: 0,id_seg,id_cell,id_par,id_colony,id_d1,id_d2,id_sib,frames,new_pole,old_pole,edges,length,width,area,perimeter,fluo1,fluo2,x_pos,y_pos,generation,age,strain,movie_name,replicate
0,0,0,0,-1,0,1,75,-1,0,[134 775],[116 785],,29.96331024169922,8.9442720413208,200.0,38,237.66086956521735,195.8521739130435,781.0043478260869,123.9,0.0,0,AKS1095,AKS1095_TL_01_10,3
1,1,0,0,-1,0,1,75,-1,1,[136 773],[119 783],,30.857738494873047,9.391485214233398,208.0,38,230.7112970711297,193.27615062761507,779.2928870292887,125.79916317991632,0.0,1,AKS1095,AKS1095_TL_01_10,3
2,2,0,0,-1,0,1,75,-1,2,[141 770],[121 781],,32.19937896728516,9.391485214233398,220.0,40,231.16666666666663,189.77380952380952,776.4801587301587,130.2579365079365,0.0,2,AKS1095,AKS1095_TL_01_10,3
3,3,0,0,-1,0,1,75,-1,3,[142 770],[119 782],,33.093807220458984,8.9442720413208,221.5,41,231.15686274509804,185.94901960784316,776.7686274509804,130.70980392156864,0.0,3,AKS1095,AKS1095_TL_01_10,3
4,4,0,0,-1,0,1,75,-1,4,[140 773],[116 784],,33.093807220458984,8.9442720413208,218.5,43,233.81746031746036,184.71031746031747,778.4007936507936,130.52380952380952,0.0,4,AKS1095,AKS1095_TL_01_10,3
5,5,0,0,-1,0,1,75,-1,5,[141 772],[119 785],,34.882659912109375,9.391485214233398,236.5,41,224.6715867158672,176.6678966789668,780.6715867158672,129.13653136531366,0.0,5,AKS1095,AKS1095_TL_01_10,3
6,6,0,0,-1,0,1,75,-1,6,[141 773],[116 786],,35.35531234741211,9.945050239562988,247.5,46,222.09187279151945,176.5053003533569,781.1060070671379,129.4310954063604,0.0,6,AKS1095,AKS1095_TL_01_10,3
7,7,0,0,-1,0,1,75,-1,7,[139 775],[118 787],,36.35457992553711,10.17458438873291,247.5,46,217.83098591549296,171.8274647887324,782.1302816901408,128.79577464788733,0.0,7,AKS1095,AKS1095_TL_01_10,3
8,8,0,0,-1,0,1,75,-1,8,[140 775],[115 788],,37.21091842651367,11.20258331298828,270.5,41,211.5551948051948,165.6818181818182,782.4350649350649,130.03571428571428,0.0,8,AKS1095,AKS1095_TL_01_10,3
9,9,0,0,-1,0,1,75,-1,9,[143 773],[115 788],,38.26310729980469,11.279706001281738,273.5,51,209.70287539936103,163.32907348242813,781.6070287539936,132.64217252396165,0.0,9,AKS1095,AKS1095_TL_01_10,3
10,10,0,0,-1,0,1,75,-1,10,[144 772],[120 788],,38.81186676025391,12.162398338317873,293.0,46,203.1261261261261,157.35135135135135,782.2822822822823,131.6996996996997,0.0,10,AKS1095,AKS1095_TL_01_10,3
11,11,0,0,-1,0,1,75,-1,11,[146 772],[122 788],,39.655555725097656,12.137002944946287,301.5,43,203.0380116959064,156.92397660818713,781.8157894736842,134.39473684210526,0.0,11,AKS1095,AKS1095_TL_01_10,3
12,12,0,0,-1,0,1,75,-1,12,[146 771],[117 789],,40.7846908569336,12.864195823669434,303.5,44,198.4277456647399,151.9450867052023,782.6387283236994,133.47109826589596,0.0,12,AKS1095,AKS1095_TL_01_10,3
13,13,0,0,-1,0,1,75,-1,13,[146 768],[116 789],,42.1572151184082,13.590154647827148,320.0,50,194.9808219178082,149.83561643835617,782.4876712328767,133.43835616438355,0.0,13,AKS1095,AKS1095_TL_01_10,3
14,14,0,0,-1,0,1,75,-1,14,[149 769],[119 789],,43.00468063354492,14.2147216796875,322.0,48,191.6747967479675,147.3929539295393,782.0758807588076,136.40108401084012,0.0,14,AKS1095,AKS1095_TL_01_10,3
15,15,0,0,-1,0,1,75,-1,15,[149 766],[122 789],,44.40708923339844,15.276039123535156,339.0,54,187.47814910025707,143.8611825192802,782.0616966580977,136.97943444730078,0.0,15,AKS1095,AKS1095_TL_01_10,3
16,16,0,0,-1,0,1,75,-1,16,[147 769],[117 791],,45.42449951171875,16.113018035888672,342.0,57,188.23173803526447,141.12090680100755,783.9420654911838,134.16372795969772,0.0,16,AKS1095,AKS1095_TL_01_10,3
17,17,0,1,0,0,2,112,75,17,[135 789],[118 790],,26.0,9.0,182.5,20,194.86320754716985,140.4009433962264,790.5424528301887,126.8254716981132,1.0,0,AKS1095,AKS1095_TL_01_10,3
18,18,0,1,0,0,2,112,75,18,[131 791],[115 792],,27.387022018432617,9.497111320495604,193.5,25,192.17410714285717,140.05803571428572,791.8660714285714,125.94196428571428,1.0,1,AKS1095,AKS1095_TL_01_10,3
19,19,0,1,0,0,2,112,75,19,[134 790],[117 792],,28.0,9.0,193.0,23,192.92857142857144,137.15178571428572,791.5580357142857,127.69196428571428,1.0,2,AKS1095,AKS1095_TL_01_10,3
20,20,0,1,0,0,2,112,75,20,[136 788],[120 792],,27.884191513061523,9.615238189697266,198.5,30,187.68558951965065,135.882096069869,790.4803493449782,128.68995633187774,1.0,3,AKS1095,AKS1095_TL_01_10,3
21,21,0,1,0,0,2,112,75,21,[138 787],[119 793],,28.215755462646484,10.051413536071776,206.0,33,188.4725738396625,134.15189873417722,790.3080168776371,130.16033755274262,1.0,4,AKS1095,AKS1095_TL_01_10,3
22,22,0,1,0,0,2,112,75,22,[140 786],[123 792],,28.62480735778809,9.979290962219238,212.0,35,185.1851851851852,133.57201646090536,789.6831275720165,132.07407407407408,1.0,5,AKS1095,AKS1095_TL_01_10,3
23,23,0,1,0,0,2,112,75,23,[142 784],[124 793],,30.061412811279297,10.306770324707031,219.0,40,184.45019920318725,131.88844621513945,789.8964143426294,132.10756972111554,1.0,6,AKS1095,AKS1095_TL_01_10,3
24,24,0,1,0,0,2,112,75,24,[142 784],[124 793],,30.85773658752441,10.28591251373291,223.0,43,183.6,128.12941176470588,789.6039215686275,133.521568627451,1.0,7,AKS1095,AKS1095_TL_01_10,3
25,25,0,1,0,0,2,112,75,25,[143 781],[122 794],,31.762826919555664,10.996509552001951,234.5,41,177.4589552238806,126.95149253731344,789.9962686567164,132.52238805970148,1.0,8,AKS1095,AKS1095_TL_01_10,3
26,26,0,1,0,0,2,112,75,26,[141 785],[118 798],,32.74516677856445,11.28715991973877,248.5,45,175.3427561837456,124.14487632508832,793.190812720848,130.62897526501766,1.0,9,AKS1095,AKS1095_TL_01_10,3
27,27,0,1,0,0,2,112,75,27,[141 783],[121 797],,33.2554817199707,11.085161209106444,246.0,44,175.42348754448398,124.15302491103203,792.3024911032029,130.35231316725978,1.0,10,AKS1095,AKS1095_TL_01_10,3
28,28,0,1,0,0,2,112,75,28,[143 782],[121 797],,34.66192626953125,11.235976219177246,257.5,41,174.4778156996587,121.86348122866896,792.0921501706484,132.0580204778157,1.0,11,AKS1095,AKS1095_TL_01_10,3
29,29,0,1,0,0,2,112,75,29,[144 779],[121 796],,36.88756561279297,11.648704528808594,273.0,42,168.73548387096776,118.93548387096774,790.583870967742,132.31612903225806,1.0,12,AKS1095,AKS1095_TL_01_10,3
30,30,0,1,0,0,2,112,75,30,[146 779],[124 796],,37.43511581420898,12.036358833312988,286.0,36,166.5015479876161,117.27863777089784,789.8421052631579,134.80804953560371,1.0,13,AKS1095,AKS1095_TL_01_10,3
31,31,0,1,0,0,2,112,75,31,[145 778],[121 796],,39.4040641784668,12.11288070678711,299.0,42,164.23668639053255,116.24260355029584,789.5828402366864,133.22189349112426,1.0,14,AKS1095,AKS1095_TL_01_10,3
32,32,0,1,0,0,2,112,75,32,[150 772],[126 794],,39.97420501708984,12.387216567993164,296.0,46,164.46428571428572,115.94345238095238,786.485119047619,137.73809523809524,1.0,15,AKS1095,AKS1095_TL_01_10,3
33,33,0,1,0,0,2,112,75,33,[151 771],[127 793],,41.86837768554688,13.082104682922363,311.5,55,161.12429378531073,113.39830508474576,784.7881355932203,139.55084745762713,1.0,16,AKS1095,AKS1095_TL_01_10,3
34,34,0,1,0,0,2,112,75,34,[153 768],[128 793],,43.18446731567383,14.146177291870115,319.5,57,158.1260273972603,112.61917808219178,784.4301369863014,141.21369863013695,1.0,17,AKS1095,AKS1095_TL_01_10,3
35,35,0,1,0,0,2,112,75,35,[153 766],[127 794],,44.54772567749024,14.849242210388184,318.0,60,157.68664850136238,111.62397820163488,785.2942779291553,140.96457765667574,1.0,18,AKS1095,AKS1095_TL_01_10,3
36,36,0,2,1,0,3,162,112,36,[142 787],[128 794],,26.83281517028809,10.28591251373291,199.5,34,154.06140350877192,109.37719298245614,790.9166666666666,134.68859649122808,2.0,0,AKS1095,AKS1095_TL_01_10,3
37,37,0,2,1,0,3,162,112,37,[142 787],[129 793],,27.280027389526367,10.28591251373291,204.0,39,154.53846153846155,108.991452991453,789.8290598290598,136.2905982905983,2.0,1,AKS1095,AKS1095_TL_01_10,3
38,38,0,2,1,0,3,162,112,38,[146 785],[130 791],,27.31099319458008,10.510594367980955,212.0,35,155.5909090909091,107.93801652892562,788.7603305785124,138.5537190082645,2.0,2,AKS1095,AKS1095_TL_01_10,3
39,39,0,2,1,0,3,162,112,39,[147 785],[130 790],,28.46049690246582,10.435514450073242,211.0,35,153.33471074380165,105.83884297520662,787.4504132231405,141.34710743801654,2.0,3,AKS1095,AKS1095_TL_01_10,3
40,40,0,2,1,0,3,162,112,40,[148 784],[133 789],,28.45405578613281,10.359160423278809,218.0,33,153.4417670682731,106.3734939759036,786.995983935743,141.15261044176708,2.0,4,AKS1095,AKS1095_TL_01_10,3
41,41,0,2,1,0,3,162,112,41,[149 783],[134 789],,29.307695388793945,10.307692527770996,213.5,34,154.45081967213116,106.15573770491804,786.2540983606557,141.827868852459,2.0,5,AKS1095,AKS1095_TL_01_10,3
42,42,0,2,1,0,3,162,112,42,[151 780],[133 788],,29.546573638916016,10.559600830078123,220.5,33,152.43650793650792,104.66666666666669,785.6031746031746,142.39285714285714,2.0,6,AKS1095,AKS1095_TL_01_10,3
43,43,0,2,1,0,3,162,112,43,[154 778],[135 787],,30.87028694152832,10.911048889160156,232.0,35,150.5151515151515,104.32954545454544,784.0340909090909,144.88257575757575,2.0,7,AKS1095,AKS1095_TL_01_10,3
44,44,0,2,1,0,3,162,112,44,[156 777],[132 787],,31.296083450317383,10.112679481506348,223.0,35,150.1796875,103.40625,783.59765625,145.09375,2.0,8,AKS1095,AKS1095_TL_01_10,3
45,45,0,2,1,0,3,162,112,45,[157 778],[135 788],,32.67992401123047,10.538476943969728,230.0,37,150.50950570342206,103.1254752851711,784.2357414448669,146.9809885931559,2.0,9,AKS1095,AKS1095_TL_01_10,3
46,46,0,2,1,0,3,162,112,46,[161 779],[143 789],,33.093807220458984,10.28591251373291,239.0,36,147.8131868131868,102.2087912087912,784.8498168498169,152.35164835164835,2.0,10,AKS1095,AKS1095_TL_01_10,3
47,47,0,2,1,0,3,162,112,47,[162 779],[143 790],,33.533748626708984,10.991616249084473,248.0,41,146.48581560283688,101.3191489361702,785.9042553191489,152.18439716312056,2.0,11,AKS1095,AKS1095_TL_01_10,3
48,48,0,2,1,0,3,162,112,48,[163 777],[143 789],,35.35525131225586,11.173216819763184,251.5,35,147.32404181184668,101.80836236933798,784.1358885017422,152.83623693379792,2.0,12,AKS1095,AKS1095_TL_01_10,3
49,49,0,2,1,0,3,162,112,49,[165 773],[142 786],,37.57437515258789,11.01318073272705,264.5,36,146.30232558139534,101.26910299003322,780.9169435215947,153.9966777408638,2.0,13,AKS1095,AKS1095_TL_01_10,3
50,50,0,2,1,0,3,162,112,50,[164 771],[138 787],,38.587181091308594,11.661903381347656,284.0,36,142.8726708074534,100.24223602484471,781.7981366459627,150.75465838509317,2.0,14,AKS1095,AKS1095_TL_01_10,3
51,51,0,2,1,0,3,162,112,51,[166 767],[137 785],,39.96100234985352,11.909945487976074,294.0,33,139.99699699699698,99.26126126126128,778.5825825825826,152.2972972972973,2.0,15,AKS1095,AKS1095_TL_01_10,3
52,52,0,2,1,0,3,162,112,52,[163 767],[136 786],,41.602516174316406,12.75810432434082,293.0,41,140.09253731343284,98.56716417910448,779.2567164179104,149.4358208955224,2.0,16,AKS1095,AKS1095_TL_01_10,3
53,53,0,2,1,0,3,162,112,53,[163 765],[132 788],,43.826927185058594,14.021461486816406,295.0,59,140.92419825072886,98.01457725947522,780.7084548104956,148.75801749271136,2.0,17,AKS1095,AKS1095_TL_01_10,3
54,54,0,3,2,0,4,287,162,54,[147 783],[133 787],,24.996152877807617,9.647637367248535,179.0,26,137.2415458937198,97.3671497584541,785.6859903381643,139.70048309178745,3.0,0,AKS1095,AKS1095_TL_01_10,3
55,55,0,3,2,0,4,287,162,55,[145 783],[131 787],,25.27433967590332,9.889959335327148,183.5,24,135.9811320754717,97.97169811320757,785.622641509434,137.87735849056602,3.0,1,AKS1095,AKS1095_TL_01_10,3
56,56,0,3,2,0,4,287,162,56,[144 783],[131 785],,24.0,10.0,178.5,25,139.29951690821255,96.7729468599034,784.4927536231884,138.84541062801932,3.0,2,AKS1095,AKS1095_TL_01_10,3
57,57,0,3,2,0,4,287,162,57,[144 782],[130 784],,25.0,10.0,189.0,27,136.90366972477065,96.42201834862384,783.9724770642201,138.07339449541286,3.0,3,AKS1095,AKS1095_TL_01_10,3
58,58,0,3,2,0,4,287,162,58,[148 778],[132 782],,25.957094192504883,10.152959823608398,191.5,26,136.76818181818183,96.11818181818182,780.9409090909091,140.38636363636363,3.0,4,AKS1095,AKS1095_TL_01_10,3
59,59,0,3,2,0,4,287,162,59,[150 777],[135 782],,26.23423767089844,10.359160423278809,194.5,31,136.2914798206278,96.11659192825113,779.8789237668161,142.90134529147983,3.0,5,AKS1095,AKS1095_TL_01_10,3
60,60,0,3,2,0,4,287,162,60,[150 775],[138 780],,27.138816833496094,10.266800880432127,196.5,30,136.5511111111111,96.31555555555556,778.4177777777778,142.94222222222223,3.0,6,AKS1095,AKS1095_TL_01_10,3
61,61,0,3,2,0,4,287,162,61,[151 775],[136 781],,26.925827026367188,10.39893913269043,200.5,29,136.0,94.99565217391304,778.8652173913043,143.3217391304348,3.0,7,AKS1095,AKS1095_TL_01_10,3
62,62,0,3,2,0,4,287,162,62,[150 775],[132 782],,28.20691680908203,10.18257999420166,202.5,31,134.76394849785407,94.74248927038629,780.1931330472103,140.8197424892704,3.0,8,AKS1095,AKS1095_TL_01_10,3
63,63,0,3,2,0,4,287,162,63,[152 773],[134 781],,28.597082138061523,10.39893913269043,214.0,32,135.23265306122448,95.28571428571428,778.4857142857143,142.55510204081634,3.0,9,AKS1095,AKS1095_TL_01_10,3
64,64,0,3,2,0,4,287,162,64,[151 773],[130 781],,30.08264541625977,10.39893913269043,218.0,40,132.804,94.532,778.284,141.7,3.0,10,AKS1095,AKS1095_TL_01_10,3
65,65,0,3,2,0,4,287,162,65,[148 774],[133 781],,30.45403480529785,10.39893913269043,221.5,37,132.8976377952756,94.51181102362204,778.492125984252,139.6259842519685,3.0,11,AKS1095,AKS1095_TL_01_10,3
66,66,0,3,2,0,4,287,162,66,[150 772],[129 781],,31.728086471557617,10.234865188598633,227.0,38,132.27586206896552,94.00383141762453,778.3448275862069,138.1992337164751,3.0,12,AKS1095,AKS1095_TL_01_10,3
67,67,0,3,2,0,4,287,162,67,[149 770],[127 780],,33.24131774902344,10.324647903442385,238.5,44,130.5054945054945,94.3003663003663,776.6666666666666,136.7985347985348,3.0,13,AKS1095,AKS1095_TL_01_10,3
68,68,0,3,2,0,4,287,162,68,[146 769],[127 778],,33.61418914794922,10.265158653259276,241.5,42,130.8659420289855,93.3695652173913,775.25,134.92753623188406,3.0,14,AKS1095,AKS1095_TL_01_10,3
77,77,1,5,-1,1,6,67,-1,0,[223 281],[207 261],,35.60203170776367,10.413243293762209,241.0,30,555.0,524.2690909090909,270.1818181818182,215.5236363636364,0.0,0,AKS1095,AKS1095_TL_01_10,3
78,78,1,5,-1,1,6,67,-1,1,[225 282],[208 259],,37.00265884399414,10.883134841918944,255.0,33,549.6872852233677,508.0378006872852,268.54295532646046,217.36426116838487,0.0,1,AKS1095,AKS1095_TL_01_10,3
79,79,1,5,-1,1,6,67,-1,2,[230 277],[210 256],,37.63473892211914,10.561119079589844,254.0,33,573.7793103448275,517.903448275862,266.21724137931034,221.5448275862069,0.0,2,AKS1095,AKS1095_TL_01_10,3
80,80,1,5,-1,1,6,67,-1,3,[231 282],[211 256],,39.04887390136719,11.22655200958252,268.0,39,564.5130718954248,505.2679738562092,266.61764705882354,222.31372549019608,0.0,3,AKS1095,AKS1095_TL_01_10,3
81,81,1,5,-1,1,6,67,-1,4,[230 283],[210 258],,39.691436767578125,11.523320198059082,274.0,35,580.4888178913739,508.4920127795528,268.54313099041536,222.0447284345048,0.0,4,AKS1095,AKS1095_TL_01_10,3
82,82,1,5,-1,1,6,67,-1,5,[229 284],[208 260],,40.45947265625,11.215906143188477,286.0,36,575.6,498.26153846153846,271.1292307692308,220.1630769230769,0.0,5,AKS1095,AKS1095_TL_01_10,3
83,83,1,5,-1,1,6,67,-1,6,[230 288],[208 260],,41.21355056762695,11.648442268371582,292.5,42,588.0450450450451,497.5315315315315,271.1291291291291,219.963963963964,0.0,6,AKS1095,AKS1095_TL_01_10,3
84,84,1,5,-1,1,6,67,-1,7,[229 287],[207 261],,43.277626037597656,11.714244842529297,310.5,40,580.5397727272727,488.21590909090907,272.7244318181818,219.30397727272728,0.0,7,AKS1095,AKS1095_TL_01_10,3
85,85,1,5,-1,1,6,67,-1,8,[231 291],[207 261],,44.0314826965332,11.939887046813965,320.0,43,584.1129476584022,481.4297520661157,272.9531680440772,220.23140495867767,0.0,8,AKS1095,AKS1095_TL_01_10,3
86,86,1,5,-1,1,6,67,-1,9,[232 286],[210 261],,44.5964241027832,12.068206787109377,332.5,48,583.6436170212766,478.7154255319149,272.5585106382979,222.22340425531917,0.0,9,AKS1095,AKS1095_TL_01_10,3
87,87,1,5,-1,1,6,67,-1,10,[231 288],[205 260],,46.85036087036133,12.67343521118164,350.5,45,569.6818181818181,464.3686868686869,273.2929292929293,221.12121212121207,0.0,10,AKS1095,AKS1095_TL_01_10,3
88,88,1,5,-1,1,6,67,-1,11,[234 292],[210 260],,48.268192291259766,13.090818405151367,355.0,53,583.5459057071961,464.5409429280397,273.059553349876,223.79156327543424,0.0,11,AKS1095,AKS1095_TL_01_10,3
89,89,1,5,-1,1,6,67,-1,12,[233 294],[207 260],,49.67862319946289,13.817587852478027,359.5,66,578.338199513382,458.5133819951338,274.26277372262774,222.8321167883212,0.0,12,AKS1095,AKS1095_TL_01_10,3
90,90,1,5,-1,1,6,67,-1,13,[234 293],[207 260],,51.97837829589844,14.377437591552734,364.0,64,582.1187648456057,454.5890736342043,274.5225653206651,222.9976247030879,0.0,13,AKS1095,AKS1095_TL_01_10,3
91,91,1,6,5,1,7,110,67,14,[224 267],[209 260],,26.483386993408203,9.18642520904541,178.0,31,572.4077669902913,450.2087378640777,263.4223300970873,216.7184466019417,1.0,0,AKS1095,AKS1095_TL_01_10,3
92,92,1,6,5,1,7,110,67,15,[225 265],[212 261],,27.82804107666016,9.486830711364746,188.0,35,535.4678899082569,441.76146788990826,262.5366972477064,218.44036697247705,1.0,1,AKS1095,AKS1095_TL_01_10,3
93,93,1,6,5,1,7,110,67,16,[222 265],[209 263],,29.263019561767575,9.370742797851562,190.0,29,320.71945701357464,442.6877828054299,264.29864253393663,216.24886877828052,1.0,2,AKS1095,AKS1095_TL_01_10,3
94,94,1,6,5,1,7,110,67,17,[225 264],[210 262],,28.0,9.0,192.5,24,221.375,441.9330357142857,263.38392857142856,218.64285714285717,1.0,3,AKS1095,AKS1095_TL_01_10,3
95,95,1,6,5,1,7,110,67,18,[222 273],[207 264],,28.98326110839844,9.603920936584473,197.5,35,589.7444933920705,440.7224669603525,268.704845814978,215.1453744493392,1.0,4,AKS1095,AKS1095_TL_01_10,3
96,96,1,6,5,1,7,110,67,19,[225 275],[206 264],,29.467941284179688,9.645980834960938,198.0,36,594.2894736842105,443.2280701754386,268.75877192982455,216.34649122807016,1.0,5,AKS1095,AKS1095_TL_01_10,3
97,97,1,6,5,1,7,110,67,20,[226 277],[207 264],,30.44551086425781,9.953341484069824,204.5,36,577.5361702127659,437.6808510638298,269.7574468085106,217.3404255319149,1.0,6,AKS1095,AKS1095_TL_01_10,3
98,98,1,6,5,1,7,110,67,21,[228 279],[208 264],,31.587406158447266,9.906109809875488,206.0,34,583.1729957805907,437.9620253164557,270.44303797468353,218.4345991561181,1.0,7,AKS1095,AKS1095_TL_01_10,3
99,99,1,6,5,1,7,110,67,22,[230 280],[210 264],,32.17179489135742,9.995121002197266,216.5,29,586.6451612903226,434.6814516129032,270.64112903225805,220.57258064516128,1.0,8,AKS1095,AKS1095_TL_01_10,3
100,100,1,6,5,1,7,110,67,23,[230 281],[207 264],,33.41103744506836,10.248083114624023,217.0,35,594.172,428.384,271.492,220.62,1.0,9,AKS1095,AKS1095_TL_01_10,3
101,101,1,6,5,1,7,110,67,24,[231 282],[214 265],,34.042869567871094,10.108799934387209,222.0,31,604.7843137254902,428.4392156862745,272.25882352941176,222.0745098039216,1.0,10,AKS1095,AKS1095_TL_01_10,3
102,102,1,6,5,1,7,110,67,25,[231 285],[211 265],,35.41379165649414,10.37930965423584,243.5,34,582.1330935251799,407.6510791366906,273.5071942446043,221.3812949640288,1.0,11,AKS1095,AKS1095_TL_01_10,3
103,103,1,6,5,1,7,110,67,26,[229 288],[208 268],,36.06244659423828,9.899494171142578,248.5,31,611.530035335689,413.0883392226148,277.18727915194347,219.5441696113074,1.0,12,AKS1095,AKS1095_TL_01_10,3
104,104,1,6,5,1,7,110,67,27,[229 288],[208 268],,38.18376159667969,10.60660171508789,254.0,34,615.2474226804123,409.2749140893471,276.7216494845361,219.4742268041237,1.0,13,AKS1095,AKS1095_TL_01_10,3
105,105,1,6,5,1,7,110,67,28,[231 289],[211 268],,38.18376159667969,10.60660171508789,261.0,34,626.744966442953,409.28859060402687,277.3288590604027,221.33221476510067,1.0,14,AKS1095,AKS1095_TL_01_10,3
106,106,1,6,5,1,7,110,67,29,[231 288],[209 266],,41.00291442871094,11.010320663452148,293.0,36,607.3373493975904,391.9909638554217,276.632530120482,221.9789156626506,1.0,15,AKS1095,AKS1095_TL_01_10,3
107,107,1,6,5,1,7,110,67,30,[234 291],[213 266],,42.51837158203125,11.497314453125,304.0,42,605.5217391304348,392.8840579710145,277.295652173913,224.6695652173913,1.0,16,AKS1095,AKS1095_TL_01_10,3
