,Unnamed: 0,id_seg,id_cell,id_par,id_colony,id_d1,id_d2,id_sib,frames,new_pole,old_pole,edges,length,width,area,perimeter,fluo1,fluo2,x_pos,y_pos,generation,age,strain,movie_name,replicate
0,0,0,0,-1,0,1,79,-1,0,[223 615],[212 633],,30.20000457763672,9.40000057220459,205.0,34,557.0808510638298,520.3872340425532,623.2,217.40425531914892,0.0,0,AKS1097,AKS1097_TL_01_19,0
1,1,0,0,-1,0,1,79,-1,1,[227 613],[214 631],,30.97330474853516,9.51148796081543,211.0,27,565.2697095435684,515.0,622.6099585062241,219.4813278008299,0.0,1,AKS1097,AKS1097_TL_01_19,0
2,2,0,0,-1,0,1,79,-1,2,[228 612],[217 630],,31.904699325561523,9.553384780883787,215.5,30,569.1740890688259,510.663967611336,620.914979757085,221.94736842105263,0.0,2,AKS1097,AKS1097_TL_01_19,0
3,3,0,0,-1,0,1,79,-1,3,[229 611],[218 630],,32.246482849121094,9.481276512145996,221.5,38,587.6417322834645,511.6141732283464,620.3937007874016,222.95669291338584,0.0,3,AKS1097,AKS1097_TL_01_19,0
4,4,0,0,-1,0,1,79,-1,4,[227 608],[214 633],,33.47833251953125,9.884078979492188,230.5,37,586.030303030303,495.594696969697,618.9431818181819,219.5189393939394,0.0,4,AKS1097,AKS1097_TL_01_19,0
5,5,0,0,-1,0,1,79,-1,5,[223 611],[213 632],,33.023719787597656,9.615729331970217,226.0,36,607.027027027027,506.88030888030886,620.5405405405405,217.3359073359073,0.0,5,AKS1097,AKS1097_TL_01_19,0
6,6,0,0,-1,0,1,79,-1,6,[220 610],[210 634],,34.882659912109375,9.391485214233398,238.0,45,605.3992673992674,490.0512820512821,620.1575091575091,214.6336996336996,0.0,6,AKS1097,AKS1097_TL_01_19,0
7,7,0,0,-1,0,1,79,-1,7,[218 610],[208 635],,34.910606384277344,9.630512237548828,238.5,40,608.3540145985402,489.9124087591241,620.6824817518249,212.2992700729927,0.0,7,AKS1097,AKS1097_TL_01_19,0
8,8,0,0,-1,0,1,79,-1,8,[222 608],[211 634],,36.23077392578125,9.846155166625977,248.5,42,610.2972027972028,480.7097902097902,620.5769230769231,214.92307692307693,0.0,8,AKS1097,AKS1097_TL_01_19,0
9,9,0,0,-1,0,1,79,-1,9,[223 606],[212 633],,37.69500732421875,9.592033386230469,251.5,43,587.9413793103448,481.1137931034483,619.3482758620689,215.82413793103447,0.0,9,AKS1097,AKS1097_TL_01_19,0
